prad_1,moc_1,napiecie_1,prad_2,moc_2,napiecie_2,prad_3,moc_3,napiecie_3,prad_4,moc_4,napiecie_4
16.412,0.00052496,1.1521,16.412,0.00034265,1.1484,16.412,8.9366e-05,1.1422,16.412,1.0213e-06,1.1306
16.711,0.00055764,1.1594,16.711,0.00036053,1.1539,16.711,0.00012715,1.149,16.711,5.1066e-07,1.1349
17.009,0.00057858,1.1649,17.009,0.00039474,1.16,17.009,0.00014298,1.1551,17.009,1.0213e-06,1.1429
17.307,0.00058266,1.171,17.307,0.00040342,1.1674,17.307,0.00015575,1.1582,17.307,1.532e-06,1.1496
17.606,0.00060564,1.1784,17.606,0.00042232,1.1723,17.606,0.00017924,1.1668,17.606,5.1066e-07,1.1576
17.904,0.00063577,1.1851,17.904,0.00044376,1.1796,17.904,0.00018486,1.1717,17.904,1.0213e-06,1.1655
18.203,0.00063986,1.19,18.203,0.00047185,1.1858,18.203,0.00021958,1.1778,18.203,0,1.1698
18.501,0.00066386,1.1956,18.501,0.0004836,1.1913,18.501,0.00022009,1.1858,18.501,1.532e-06,1.1766
18.799,0.00067969,1.2029,18.799,0.00049432,1.1986,18.799,0.00025839,1.1919,18.799,5.1066e-07,1.1839
19.098,0.00071288,1.209,19.098,0.00052394,1.2035,19.098,0.00026299,1.1968,19.098,1.532e-06,1.1907
19.396,0.0007231,1.2158,19.396,0.00053313,1.2084,19.396,0.00027984,1.2023,19.396,2.0426e-06,1.1968
19.695,0.00073586,1.2213,19.695,0.00055356,1.2158,19.695,0.0002972,1.209,19.695,1.532e-06,1.2041
19.993,0.00076446,1.228,19.993,0.00056888,1.2219,19.993,0.00032631,1.2158,19.993,7.6599e-06,1.2072
20.291,0.00076854,1.2354,20.291,0.00059543,1.2293,20.291,0.00031916,1.2225,20.291,1.3277e-05,1.2158
20.59,0.0008048,1.2391,20.59,0.0006082,1.2366,20.59,0.00034572,1.2287,20.59,3.4725e-05,1.2225
20.888,0.00081399,1.2464,20.888,0.0006373,1.2427,20.888,0.00038351,1.236,20.888,5.6683e-05,1.2262
21.187,0.00083493,1.2538,21.187,0.00065824,1.2489,21.187,0.0003927,1.2409,21.187,7.2514e-05,1.2366
21.485,0.0008528,1.2611,21.485,0.00066335,1.255,21.485,0.00041159,1.2476,21.485,8.2216e-05,1.2403
21.783,0.00086455,1.2673,21.783,0.00068224,1.2617,21.783,0.00042896,1.2556,21.783,9.0898e-05,1.2495
22.082,0.00089927,1.2746,22.082,0.00071441,1.2679,22.082,0.00044938,1.2599,22.082,0.00012664,1.2532
22.38,0.0009151,1.2801,22.38,0.00072054,1.2752,22.38,0.00046317,1.2673,22.38,0.0001343,1.2611
22.679,0.00091817,1.2887,22.679,0.00074301,1.2813,22.679,0.00048053,1.2722,22.679,0.00013737,1.2679
22.977,0.00094268,1.293,22.977,0.00075782,1.2869,22.977,0.00050964,1.2801,22.977,0.00016648,1.2746
23.275,0.0009723,1.301,23.275,0.00078438,1.293,23.275,0.00052956,1.2875,23.275,0.00018997,1.2795
23.574,0.00097945,1.3065,23.574,0.00080174,1.301,23.574,0.00051934,1.2924,23.574,0.00019712,1.2856
23.872,0.0010045,1.3138,23.872,0.00081757,1.3052,23.872,0.00055662,1.2997,23.872,0.00021703,1.2918
24.171,0.0010172,1.3212,24.171,0.00082319,1.3138,24.171,0.00058215,1.3077,24.171,0.00024052,1.2979
