Time,Power,Distance,Gain
0.0,103.0,-6.542827637536666,
0.00024998999999999996,103.0,-6.5173361012865225,
0.0004999799999999999,102.0,-6.491844565036381,
0.0007499700000000001,105.0,-6.466353028786238,-14.927106292596633
0.0009999599999999998,104.0,-6.440861492536095,-26.363314848488383
0.0012499499999999999,104.0,-6.415369956285952,-26.363314848488383
0.0014999400000000002,104.0,-6.389878420035808,-26.363314848488383
0.00174993,102.0,-6.3643868837856665,
0.0019999199999999996,103.0,-6.338895347535523,
0.00224991,103.0,-6.313403811285381,
0.0024998999999999998,103.0,-6.287912275035238,
0.00274989,105.0,-6.262420738785095,-14.927106292596633
0.0029998800000000003,104.0,-6.236929202534952,-26.363314848488383
0.00324987,103.0,-6.211437666284809,
0.00349986,105.0,-6.185946130034667,-14.927106292596633
0.0037498500000000003,103.0,-6.160454593784523,
0.003999839999999999,103.0,-6.134963057534381,
0.00424983,104.0,-6.109471521284238,-26.363314848488383
0.00449982,102.0,-6.0839799850340945,
0.004749809999999999,102.0,-6.058488448783952,
0.0049997999999999996,103.0,-6.032996912533809,
0.00524979,104.0,-6.007505376283666,-26.363314848488383
0.00549978,104.0,-5.982013840033524,-26.363314848488383
0.00574977,105.0,-5.95652230378338,-14.927106292596633
0.005999760000000001,106.0,-5.931030767533238,-13.427567357216654
0.00624975,105.0,-5.905539231283094,-14.927106292596633
0.00649974,102.0,-5.880047695032952,
0.006749730000000001,104.0,-5.854556158782809,-26.363314848488383
0.00699972,104.0,-5.829064622532666,-26.363314848488383
0.00724971,104.0,-5.803573086282523,-26.363314848488383
0.007499700000000001,104.0,-5.778081550032381,-26.363314848488383
0.007749690000000001,105.0,-5.752590013782237,-14.927106292596633
0.007999679999999999,105.0,-5.7270984775320946,-14.927106292596633
0.008249669999999999,105.0,-5.701606941281952,-14.927106292596633
0.00849966,103.0,-5.676115405031809,
0.00874965,104.0,-5.650623868781667,-26.363314848488383
0.00899964,101.0,-5.625132332531523,
0.00924963,102.0,-5.59964079628138,
0.009499619999999999,104.0,-5.574149260031238,-26.363314848488383
0.009749609999999999,105.0,-5.548657723781095,-14.927106292596633
0.009999599999999999,104.0,-5.523166187530952,-26.363314848488383
0.01024959,106.0,-5.497674651280809,-13.427567357216654
0.01049958,103.0,-5.472183115030666,
0.01074957,104.0,-5.4466915787805235,-26.363314848488383
0.01099956,105.0,-5.421200042530381,-14.927106292596633
0.01124955,106.0,-5.395708506280238,-13.427567357216654
0.01149954,103.0,-5.370216970030095,
0.011749530000000001,103.0,-5.344725433779951,
0.011999520000000001,105.0,-5.319233897529809,-14.927106292596633
0.01224951,104.0,-5.293742361279667,-26.363314848488383
0.0124995,103.0,-5.268250825029523,
0.01274949,105.0,-5.2427592887793795,-14.927106292596633
0.01299948,103.0,-5.217267752529238,
0.013249470000000001,105.0,-5.191776216279095,-14.927106292596633
0.013499460000000001,105.0,-5.1662846800289515,-14.927106292596633
0.01374945,105.0,-5.14079314377881,-14.927106292596633
0.01399944,104.0,-5.115301607528666,-26.363314848488383
0.01424943,103.0,-5.0898100712785235,
0.01449942,103.0,-5.06431853502838,
0.014749410000000001,102.0,-5.038826998778238,
0.014999400000000001,103.0,-5.0133354625280955,
0.01524939,105.0,-4.987843926277952,-14.927106292596633
0.015499380000000002,104.0,-4.962352390027808,-26.363314848488383
0.01574937,103.0,-4.936860853777667,
0.015999359999999997,104.0,-4.911369317527524,-26.363314848488383
0.01624935,104.0,-4.88587778127738,-26.363314848488383
0.016499339999999998,103.0,-4.860386245027237,
0.01674933,103.0,-4.834894708777095,
0.01699932,103.0,-4.809403172526952,
0.017249309999999997,104.0,-4.783911636276809,-26.363314848488383
0.0174993,104.0,-4.758420100026667,-26.363314848488383
0.017749289999999997,104.0,-4.7329285637765235,-26.363314848488383
0.01799928,106.0,-4.707437027526381,-13.427567357216654
0.018249269999999998,106.0,-4.681945491276237,-13.427567357216654
0.01849926,104.0,-4.656453955026095,-26.363314848488383
0.01874925,103.0,-4.630962418775953,
0.018999239999999997,104.0,-4.605470882525808,-26.363314848488383
0.01924923,105.0,-4.579979346275666,-14.927106292596633
0.019499219999999998,105.0,-4.554487810025524,-14.927106292596633
0.01974921,105.0,-4.52899627377538,-14.927106292596633
0.019999199999999998,104.0,-4.503504737525238,-26.363314848488383
0.020249189999999997,103.0,-4.478013201275095,
0.02049918,103.0,-4.452521665024952,
0.020749169999999997,104.0,-4.427030128774809,-26.363314848488383
0.02099916,105.0,-4.401538592524665,-14.927106292596633
0.02124915,104.0,-4.376047056274524,-26.363314848488383
0.02149914,102.0,-4.350555520024381,
0.021749130000000002,105.0,-4.325063983774237,-14.927106292596633
0.02199912,105.0,-4.299572447524095,-14.927106292596633
0.022249110000000002,104.0,-4.274080911273952,-26.363314848488383
0.0224991,104.0,-4.248589375023809,-26.363314848488383
0.022749090000000003,104.0,-4.223097838773666,-26.363314848488383
0.02299908,105.0,-4.197606302523523,-14.927106292596633
0.02324907,104.0,-4.172114766273381,-26.363314848488383
0.023499060000000002,104.0,-4.146623230023238,-26.363314848488383
0.02374905,104.0,-4.121131693773095,-26.363314848488383
0.023999040000000003,105.0,-4.095640157522952,-14.927106292596633
0.02424903,105.0,-4.070148621272809,-14.927106292596633
0.02449902,103.0,-4.044657085022666,
0.024749010000000002,104.0,-4.019165548772523,-26.363314848488383
0.024999,104.0,-3.993674012522381,-26.363314848488383
0.025248990000000002,104.0,-3.9681824762722377,-26.363314848488383
0.02549898,105.0,-3.9426909400220946,-14.927106292596633
0.025748970000000003,103.0,-3.9171994037719524,
